漢字,田町読み（新しい詳細読み）　カタカナ,田町読み（新しい詳細読み）　ひらがな
亜,アネッタイノア,あねったいのあ
哀,キドアイラクノアイ，アワレム,きどあいらくのあい，あわれむ
愛,アイスルノアイ,あいするのあい
悪,ゼンアクノアク，ワルイ,ぜんあくのあく，わるい
握,アクリョクノアク，ニギル,あくりょくのあく，にぎる
圧,アツリョクノアツ,あつりょくのあつ
扱,アツカウ,あつかう
安,アンシンノアン，ヤスイ,あんしんのあん，やすい
案,アンナイノアイ,あんないのあい
暗,アンキスルノアン，クライ,あんきするのあん，くらい
以,イジョウ，イカノイ,いじょう，いかのい
衣,イフクノイ，コロモ,いふくのい，ころも
位,タンイノイ,たんいのい
囲,イゴノイ，カコム,いごのい，かこむ
医,オイシャサンノイ,おいしゃさんのい
依,イライスルノイ,いらいするのい
委,ガッキュウイインノイ,がっきゅういいんのい
威,イゲンガアルノイ,いげんがあるのい
胃,イブクロノイ,いぶくろのい
為,コウイノイ，タメ,こういのい，ため
尉,リクグンタイイノイ,りくぐんたいいのい
異,イコクノイ，コトナル,いこくのい，ことなる
移,イドウノイ，ウツル,いどうのい，うつる
偉,イダイノイ，エライ,いだいのい，えらい
意,イミノイ,いみのい
違,イハンノイ，チガウ,いはんのい，ちがう
維,イジスルノイ,いじするのい
慰,イシャリョウノイ，ナグサメル,いしゃりょうのい，なぐさめる
遺,イデンノイ,いでんのい
緯,イドケイドノイ,いどけいどのい
域,チイキノイキ,ちいきのいき
育,キョウイクノイク，ソダテル,きょういくのいく，そだてる
一,カンスウジノイチ,かんすうじのいち
壱,ケイヤクショニツカウスウジノイチ,けいやくしょにつかうすうじのいち
逸,イツダツスル,いつだつする
芋,ヤキイモノイモ,やきいものいも
引,インヨウスルノイン，ヒク,いんようするのいん，ひく
印,インサツノイン,いんさつのいん
因,ゲンインノイン，チナミニ,げんいんのいん，ちなみに
姻,コンインノイン,こんいんのいん
員,ガッキュウイインノイン,がっきゅういいんのいん
院,ニュウインスルノイン,にゅういんするのいん
陰,インキナノイン，カゲ,いんきなのいん，かげ
飲,ミズヲノムノノム，イン,みずをのむののむ，いん
隠,インキョスルノイン，カクレル,いんきょするのいん，かくれる
韻,ヨインガノコルノイン,よいんがのこるのいん
右,ミギ，サユウノユウ,みぎ，さゆうのゆう
宇,ウチュウノウ,うちゅうのう
羽,ハネ，ウモウノウ,はね，うもうのう
雨,アメ，ウテンノウ,あめ，うてんのう
運,ウンドウノウン，ハコブ,うんどうのうん，はこぶ
